n	part.num	weight	lambda	dist.1	dist.2	dist.3	dist.4	dist.5
3	98	0.0052571399	2.41951	0.16294	0.16445	0.16891	0.16329	0.16432
3	99	0.0131428496	1.7856	0.16795	0.16867	0.16332	0.15982	0.16555
3	100	0.0078857098	1.59037	0.16552	0.15917	0.16257	0.16347	0.15946
4	1	0.0082908682	1.2953	0.16179	0.15653	0.17022	0.16007	0.16328
4	2	0.0138181137	0.56435	0.14073	0.13512	0.14359	0.13624	0.13874
4	3	0.0138181137	0.70355	0.14884	0.15452	0.15047	0.15716	0.15599
4	4	0.0082908682	1.95353	0.17623	0.16406	0.1683	0.17	0.16776
4	5	0.0062181512	2.33403	0.1627	0.16212	0.15872	0.16209	0.17628
4	6	0.0009212076	4.48504	0.17757	0.17653	0.18023	0.16809	0.17382
4	7	0.0138181137	1.56306	0.16313	0.16881	0.16574	0.16337	0.16377
4	8	0.0061413839	2.96952	0.16853	0.17217	0.17459	0.16859	0.16349
4	9	0.0030706919	3.03383	0.16959	0.16357	0.16989	0.16904	0.17132
4	10	0.0138181137	1.21682	0.15887	0.16013	0.16444	0.16175	0.16769
4	11	0.0088435928	2.74626	0.16802	0.16697	0.16527	0.16644	0.16963
4	12	0.0138181137	1.67651	0.16013	0.16031	0.16933	0.16497	0.16405
4	13	0.0138181137	0.28029	0.11662	0.11533	0.1272	0.11838	0.11216
4	14	0.0138181137	1.37243	0.1559	0.16201	0.16017	0.16442	0.16689
4	15	0.0022108982	5.39658	0.16827	0.18242	0.17287	0.1733	0.16922
4	16	0.0138181137	2.0123	0.15991	0.16164	0.16296	0.16531	0.16785
4	17	0.0027636227	2.68407	0.16872	0.16355	0.17662	0.17607	0.17612
4	18	0.0138181137	1.91643	0.16135	0.16463	0.16933	0.16639	0.16478
4	19	0.0011054491	3.57009	0.17021	0.1687	0.16894	0.16589	0.17208
4	20	0.0138181137	1.87354	0.161	0.16268	0.16907	0.16746	0.1608
4	21	0	5.99925	0.17173	0.17013	0.17469	0.16957	0.17535
4	22	0	7.7021	0.1777	0.17862	0.18104	0.16978	0.17692
4	23	0.0138181137	0.21488	0.11437	0.1148	0.11644	0.10793	0.11005
4	24	0.0082908682	3.03698	0.17421	0.18292	0.16663	0.16837	0.16586
4	25	0.0138181137	0.41847	0.13611	0.13944	0.13812	0.13501	0.13587
4	26	0.0138181137	0.87189	0.15409	0.14982	0.15717	0.15535	0.15239
4	27	0.0138181137	0.81875	0.14636	0.15758	0.14998	0.15791	0.15206
4	28	0.0088435928	2.7852	0.16768	0.16501	0.18192	0.17357	0.16822
4	29	0.011054491	1.63963	0.15743	0.1573	0.15786	0.16184	0.1692
4	30	0.0138181137	1.29581	0.15589	0.16347	0.15317	0.15982	0.16082
4	31	0.0138181137	1.4712	0.16245	0.15987	0.1577	0.16573	0.16205
4	32	0.0055272455	2.6648	0.16794	0.17382	0.17295	0.17238	0.17002
4	33	0	4.99927	0.1746	0.17426	0.16982	0.17319	0.16999
4	34	0	4.26036	0.17417	0.17256	0.17006	0.18186	0.17744
4	35	0.0082908682	2.23963	0.16374	0.16272	0.17652	0.17227	0.16759
4	36	0.0138181137	0.95968	0.15547	0.15097	0.15572	0.15335	0.15816
4	37	0.0138181137	1.54001	0.16743	0.16525	0.1643	0.16154	0.16847
4	38	0.0138181137	1.9131	0.17143	0.16924	0.16951	0.15827	0.16434
4	39	0.0138181137	1.86772	0.15821	0.16904	0.16679	0.17566	0.17009
